Received Date,Employer Name,Employer City,Employer State,Employer Zip Code,Industry,Complaint Type,Minimum Wage,Tips,Prevailing Wage,Independent contractor misclassification,Retaliation,Overtime,Non-payment of wages,Vacation Pay,Meal Period,Child Labor,Unpaid commissions,Personnel records,Other,Domestic Worker Law Violation,Earned Sick Leave,Temp Workers' Right to Know,Minor Working Too Early or Too Late,Minor Working Too Many Hours,Minor Working Without a Permit,Minor Working in a Prohibited Occupation,Minor Serving Alcohol,Minor Unsupervised after 8pm,Number
3/2/2026,QSP Logistics LLC                                                                                                                                     ,Bellingham                         ,MA   ,02019          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328640
3/2/2026,Royal Ride Inc.                                                                                                                                       ,Wakefield                          ,MA   ,01880          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328516
3/2/2026,Ten's Show Club                                                                                                                                       ,Salisbury                          ,MA   ,01952          ,Entertainment/Gaming                                                                                ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328537
3/2/2026,Tufts University                                                                                                                                      ,Medford                            ,MA   ,02155          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , , , , , , , , ,Yes, , , , , , , , , , ,1328539
2/27/2026,Gomez Enterprises III d/b/a McDonald’s                                                                                                                ,Chicopee                           ,MA   ,01020          ,Restaurant/Hotel                                                                                    ,Child Labor / Youth Employment                    , , , , ,Yes, , , ,Yes,Yes, , ,Yes, , , , , , , , , ,1328418
2/27/2026,Hanscom Federal Credit Union                                                                                                                          ,Littleton                          ,MA   ,01460          ,Bank/Financial                                                                                      ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , ,Yes, , , , , , , , , , , ,1328420
2/27/2026,La Qchara                                                                                                                                             ,Beverly                            ,MA   ,01915          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , ,Yes, , , , ,Yes, , , , , , , , , , , , , , , ,1328463
2/27/2026,Lombard Logistics Inc.                                                                                                                                ,Kingston                           ,MA   ,02364          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , ,Yes,Yes, , , , , , , ,Yes, , , , , , , ,1328496
2/27/2026,Popoverbrands LLC                                                                                                                                     ,Wellesley                          ,MA   ,02482          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , ,Yes, , , ,Yes,Yes, , , , , , , , , , , , , , , ,1328415
2/27/2026,"Value Creation Labs, LLC.                                                                                                                             ",Beverly                            ,MA   ,02360          ,Services                                                                                            ,Non-Payment of Wage                               , , , ,Yes,Yes, ,Yes, , , ,Yes, , , ,Yes, , , , , , , ,1328455
