Received Date,Employer Name,Employer City,Employer State,Employer Zip Code,Industry,Complaint Type,Minimum Wage,Tips,Prevailing Wage,Independent contractor misclassification,Retaliation,Overtime,Non-payment of wages,Vacation Pay,Meal Period,Child Labor,Unpaid commissions,Personnel records,Other,Domestic Worker Law Violation,Earned Sick Leave,Temp Workers' Right to Know,Minor Working Too Early or Too Late,Minor Working Too Many Hours,Minor Working Without a Permit,Minor Working in a Prohibited Occupation,Minor Serving Alcohol,Minor Unsupervised after 8pm,Number
8/26/2025,A3 Solutions                                                                                                                                          ,Farmers Branch                     ,TX   ,75234          ,Staffing/Temp Agency                                                                                ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305485
8/26/2025,Allied Waste Services of Mass. LLC and Complete Labor and Staffing LLC                                                                                ,Boston                             ,MA   ,02110          ,Waste Management                                                                                    ,Non-Payment of Wage                               ,Yes, , , , ,Yes,Yes, , , , , , , , , , , , , , , ,1305488
8/26/2025,Allpro Staffnet                                                                                                                                       ,Madison                            ,TN   ,37115          ,PCA/Home Healthcare                                                                                 ,Non-Payment of Wage                               , , , , ,Yes, , , , , , , , ,Yes, , , , , , , , ,1305536
8/26/2025,"Castle Electric, Inc.                                                                                                                                 ",Norwood                            ,MA   ,02062          ,Services                                                                                            ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , ,Yes, , , , , , , , , , , ,1305476
8/26/2025,City of Newton                                                                                                                                        ,Newton                             ,MA   ,02465          ,Government                                                                                          , , , , , , , , , , , , , , , , , , , , , , , ,1305553
8/26/2025,DV Auto Detailing LLC                                                                                                                                 ,Acton                              ,MA   ,01720          ,Cleaning/Janitorial                                                                                 , , , , , , , , , , , , , , , , , , , , , , , ,1305603
8/26/2025,Global Children School                                                                                                                                ,Woburn                             ,MA   ,01801          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1305495
8/26/2025,Hamilton Restaurant And Bar                                                                                                                           ,Brookline                          ,MA   ,02445          ,Restaurant/Hotel                                                                                    , , , , , , , , , , , , , , , , , , , , , , , ,1305546
8/26/2025,Hanson Public Library                                                                                                                                 ,Hanson                             ,MA   ,02341          ,Government                                                                                          ,Non-Payment of Wage                               , , , , , , , ,Yes, , , , , , , , , , , , , , ,1305542
8/26/2025,"Insigma, Inc                                                                                                                                          ",McLean                             ,VA   ,22102          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305483
8/26/2025,Junas Ravlin LLC                                                                                                                                      ,Charlotte                          ,VT   ,05445          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305439
8/26/2025,"Lyft, Inc.                                                                                                                                            ",San Francisco                      ,CA   ,94107          ,Transportation/Delivery                                                                             , , , , , , , , , , , , , , , , , , , , , , , ,1305579
8/26/2025,Momentum Enterprises Incorporated                                                                                                                     ,Boston                             ,MA   ,02116          ,Entertainment/Gaming                                                                                ,Non-Payment of Wage                               , , , , , , , , , , , , ,Yes, , , , , , , , , ,1305543
8/26/2025,Move Mountains Co.                                                                                                                                    ,Providence                         ,RI   ,02908          ,Technology/Biotech                                                                                  ,Prevailing Wage                                   ,Yes, ,Yes,Yes, , , , , , , , , , , , , , , , , , ,1305503
8/26/2025,Ocean State Job Lot                                                                                                                                   ,Dartmouth                          ,MA   ,02747          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , , ,Yes, , , , , , , , , , , , , , ,1305481
8/26/2025,Pace Analytical                                                                                                                                       ,Minneapolis                        ,MN   ,55414          ,Services                                                                                            , , , , , , , , , , , , , , , , , , , , , , , ,1305493
8/26/2025,Pearl Meat Packing/Old World Provisions Boston LLC                                                                                                    ,Randolph                           ,MA   ,02368          ,Manufacturing/Food Processing                                                                       ,Non-Payment of Wage                               , , , , , , , ,Yes, , , , , , , , , , , , , , ,1305520
8/26/2025,Peter Needham Electrical & HVAC                                                                                                                       ,Medford                            ,MA   ,02155          ,Construction                                                                                        , , , , , , , , , , , , , , , , , , , , , , , ,1305538
8/26/2025,PosiGen                                                                                                                                               ,Lowell                             ,MA   ,01851          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , ,Yes, , , , , , , , , , , ,1305490
8/26/2025,PosiGen Solar                                                                                                                                         ,Lowell                             ,MA   ,01982          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305484
8/26/2025,PosiGen Solar PBC                                                                                                                                     ,St. Rose                           ,LA   ,70087          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305482
8/26/2025,Rodney Hunt                                                                                                                                           ,Orange                             ,MA   ,01364          ,Manufacturing/Food Processing                                                                       ,Prevailing Wage                                   , , ,Yes, , , , ,Yes, , , , , , ,Yes, , , , , , , ,1305515
8/26/2025,Son Services Inc.                                                                                                                                     ,Lowell                             ,MA   ,01851          ,Staffing/Temp Agency                                                                                , , , , , , , , , , , , , , , , , , , , , , , ,1305527
8/26/2025,"SPAR Group, Inc.                                                                                                                                      ",Charlotte                          , ,28203          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305535
8/26/2025,"Speedway, LLC                                                                                                                                         ",Enon                               ,OH   ,45323          ,Retail/Sales                                                                                        , , , , , , , , , , , , , , , , , , , , , , , ,1305560
8/26/2025,Stallion Concrete Inc.                                                                                                                                ,Berkley                            ,MA   ,02724          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , ,Yes,Yes, , , , , , , , , , , , , , , ,1305600
8/26/2025,Street Delivery                                                                                                                                       ,Amesbury                           ,MA   ,01913          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , ,Yes, , , , , , , , , ,1305506
8/26/2025,Tak Center for Mental Health                                                                                                                          ,Leominster                         ,MA   ,01453          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , ,Yes, ,Yes,Yes, , ,Yes, , , , , , , , , , , ,1305499
8/26/2025,Tavern on the Wharf                                                                                                                                   ,Plymouth                           ,MA   ,02360          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305492
8/26/2025,"Top Labors, Inc                                                                                                                                       ",Lowell                             ,MA   ,01851          ,Staffing/Temp Agency                                                                                , , , , , , , , , , , , , , , , , , , , , , , ,1305526
8/26/2025,Uber Technologies                                                                                                                                     ,San Francisco                      ,CA   ,94103          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               ,Yes, , ,Yes, , , ,Yes, , , , ,Yes, ,Yes, , , , , , , ,1305456
8/26/2025,Uber Technologies                                                                                                                                     ,San Francisco                      ,CA   ,94103          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               ,Yes, , ,Yes, , , ,Yes, , , , ,Yes, ,Yes, , , , , , , ,1305472
8/26/2025,Uber Technologies                                                                                                                                     ,San Francisco                      ,CA   ,94103          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               ,Yes, , ,Yes, , , ,Yes, , , , ,Yes, ,Yes, , , , , , , ,1305474
8/26/2025,Uber Technologies                                                                                                                                     ,San Francisco                      ,CA   ,94103          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               ,Yes, , ,Yes, , , ,Yes, , , , ,Yes, ,Yes, , , , , , , ,1305477
8/26/2025,Uber Technologies                                                                                                                                     ,San Francisco                      ,CA   ,94103          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               ,Yes, , ,Yes, , , ,Yes, , , , ,Yes, ,Yes, , , , , , , ,1305532
8/26/2025,"United HVAC Co, Inc                                                                                                                                   ",Rockland                           ,MA   ,02370          ,Services                                                                                            ,Non-Payment of Wage                               , , , , ,Yes, , ,Yes, , , , ,Yes, , , , , , , , , ,1305539
8/25/2025,Anodyne Homemaker Services                                                                                                                            ,Quincy                             ,MA   ,02169          ,Staffing/Temp Agency                                                                                ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305299
8/25/2025,BeanTown Dogz                                                                                                                                         ,Lincoln                            ,MA   ,01801          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305356
8/25/2025,Bella Haven Adult Day Health Center                                                                                                                   ,Taunton                            ,MA   ,02780          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , , ,Yes, , , , , , , , , , , , , , ,1305303
8/25/2025,BluePearl Pet Hospital                                                                                                                                ,Boston                             ,MA   ,02129          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , ,Yes, , , , , , , , ,1305272
8/25/2025,Brelundi/Pilato LLC                                                                                                                                   ,Tewksbury                          ,MA   ,01876          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305349
8/25/2025,Captain Jacks Wharf                                                                                                                                   ,Provincetown                       ,MA   ,02657          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , , , , , , , , , , , , , , , , , ,1305267
8/25/2025,CareWell Urgent Care                                                                                                                                  ,Concord                            ,NH   ,03301          ,Hospitals/Nursing Home/Healthcare                                                                   , , , , , , , , , , , , , , , , , , , , , , , ,1305318
8/25/2025,Compassionate Health Care Group                                                                                                                       ,Wareham                            ,MA   ,02571          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305288
8/25/2025,"Do Brazil Market, Inc.                                                                                                                                ",Stoughton                          ,MA   ,02072          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , ,Yes, , , , , , , , , , , , , , , , ,1305368
8/25/2025,Dollar General                                                                                                                                        ,Worcester                          ,MA   ,01604          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305320
8/25/2025,Donald Marini                                                                                                                                         ,Boston                             ,MA   ,02121          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , , , , , , , , , , , , , , , , , , , ,1305275
8/25/2025,House of Blues Boston                                                                                                                                 ,Boston                             ,MA   ,02215          ,Entertainment/Gaming                                                                                ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305342
8/25/2025,Justice Resource Institute d/b/a Strive Boston                                                                                                        ,Needham                            ,MA   ,02494          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305375
8/25/2025,Kitchen and Floor Decor                                                                                                                               ,Woburn                             ,MA   ,01801          ,Retail/Sales                                                                                        ,Prevailing Wage                                   , , ,Yes, ,Yes,Yes, ,Yes, , , , , , , , , , , , , , ,1305278
8/25/2025,La Lueur                                                                                                                                              ,Burlington                         ,MA   ,01803          ,Salons (Nail and Hair)                                                                              ,Non-Payment of Wage                               , , , , , , ,Yes, ,Yes, , , , , , , , , , , , , ,1305301
8/25/2025,Lowell General Hospital                                                                                                                               ,Lowell                             ,MA   ,01854          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , , , , , , , ,Yes, , , , , , , , , ,1305271
8/25/2025,Lyft Drivers                                                                                                                                          ,Holyoke                            ,MA   ,01040          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               ,Yes, , , , , , , , , , , , , , , , , , , , , ,1305305
8/25/2025,MassDOT                                                                                                                                               ,Boston                             ,MA   ,02108          ,Transportation/Delivery                                                                             ,Prevailing Wage                                   , , ,Yes, , , , , , , , , , , ,Yes, , , , , , , ,1305286
8/25/2025,"Michael J Connolly & Sons, Inc                                                                                                                        ",Walpole                            ,MA   ,02081          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305293
8/25/2025,Mill Brook Rehabilitation and Healthcare Center                                                                                                       ,Fall River                         ,MA   ,02721          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305341
8/25/2025,Montessori Kids Universe                                                                                                                              ,Beverly                            ,MA   ,01915          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , ,Yes, , ,Yes, , ,Yes, , , ,Yes, , , , , , , ,1305285
8/25/2025,Murphy Carty Insurance Agency                                                                                                                         ,Scituate                           ,MA   ,02066          ,Bank/Financial                                                                                      ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , ,Yes, , , , , , , , , ,1305261
8/25/2025,Old Colony YMCA                                                                                                                                       ,Taunton                            ,MA   ,02780          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , , ,Yes, , , , , , , , , , , , , , , , ,1305251
8/25/2025,"Pada, LLC                                                                                                                                             ",East Boston                        ,MA   ,02128          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , ,Yes,Yes,Yes, ,Yes, , , ,Yes, , , , , , , , , ,1305289
8/25/2025,PosiGen Solar                                                                                                                                         ,Ludlow                             ,MA   ,01056          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1305371
8/25/2025,Precise Industries Inc.                                                                                                                               ,Lowell                             ,MA   ,01850          ,Manufacturing/Food Processing                                                                       ,Non-Payment of Wage                               , , , , , , , ,Yes, , , , , , , , , , , , , , ,1305339
8/25/2025,Royal Healthcare                                                                                                                                      , ,MA   , ,Hospitals/Nursing Home/Healthcare                                                                   , , , ,Yes, , , , , , , , , , , , , , , , , , , ,1305295
8/25/2025,Securitas Security Services                                                                                                                           ,Boston                             ,MA   ,02108          ,Security                                                                                            ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , , , , , , , , , , , , , ,1305418
8/25/2025,Simeone Floors Inc.                                                                                                                                   ,Wakefield                          ,MA   ,01880          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305291
8/25/2025,"TC Controls, Inc.                                                                                                                                     ",North Oxford                       ,MA   ,01537          ,Manufacturing/Food Processing                                                                       ,Non-Payment of Wage                               , , , , , ,Yes, ,Yes, , , , ,Yes, , , , , , , , , ,1305298
8/25/2025,Treevit                                                                                                                                               ,Athol                              ,MA   ,01331          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , ,Yes, , , , , , , , , , , , , , , , , , , , ,1305374
8/25/2025,University of Massachusetts Amherst - Police Department                                                                                               ,Amherst                            ,MA   ,01002          ,Government                                                                                          ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305273
8/25/2025,"Uxbridge Gas, Inc.                                                                                                                                    ",Uxbridge                           ,MA   ,01538          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , , , , , , , ,Yes, , , , , , , , , ,1305281
8/25/2025,View Boston                                                                                                                                           ,Boston                             ,MA   ,02199          ,Entertainment/Gaming                                                                                ,Non-Payment of Wage                               , , , , , ,Yes, , , , , , , , , , , , , , , , ,1305269
8/25/2025,Vince                                                                                                                                                 ,Boston                             ,MA   ,02116          ,Retail/Sales                                                                                        ,Prevailing Wage                                   , , ,Yes, , , , , , , , , , , ,Yes, , , , , , , ,1305283
8/25/2025,Vitra Health Inc.                                                                                                                                     ,Braintree                          ,MA   ,02184          ,PCA/Home Healthcare                                                                                 ,Non-Payment of Wage                               , , , , , , , , , , , , ,Yes, , , , , , , , , ,1305270
8/25/2025,YMCA                                                                                                                                                  ,Fall River                         ,MA   ,02720          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , , , , , , , , , , , , , ,1305359
8/22/2025,"Arnold Worldwide, LLC                                                                                                                                 ",Boston                             ,MA   ,02210          ,Services                                                                                            ,Non-Payment of Wage                               , , , , ,Yes, , , , , ,Yes, , , ,Yes, , , , , , , ,1305150
8/22/2025,Atlantic Charter Insurance Company                                                                                                                    ,Boston                             ,MA   ,02114          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1305154
8/22/2025,Bank of America                                                                                                                                       ,Charlotte                          ,NC   ,28255          ,Bank/Financial                                                                                      ,Non-Payment of Wage                               , , , , ,Yes, , , , , , ,Yes,Yes, , , , , , , , , ,1305131
8/22/2025,Bedford Dental Associates                                                                                                                             ,Bedford                            ,MA   ,01730          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , ,Yes, ,Yes, , ,Yes, , , , , , , , , , ,1305159
8/22/2025,BJ's Wholesale                                                                                                                                        ,Hudson                             ,MA   ,01749          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , , , , , , , , , , , , , , , , , ,1305134
8/22/2025,Boston Spine and Scoliosis                                                                                                                            ,Hopedale                           ,MA   ,01747          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1305140
8/22/2025,Bowser's Basement                                                                                                                                     ,Plymouth                           ,MA   ,02364          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305135
8/22/2025,"Capasso Enterprises, Inc                                                                                                                              ",Middletown                         ,CT   ,06457          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305207
8/22/2025,Clark University                                                                                                                                      ,Worcester                          ,MA   ,01610          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , , , , , , , , , , , , , ,1305217
8/22/2025,Clearview Health and Wellness Group                                                                                                                   ,Longmeadow                         ,MA   ,01106          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1305155
8/22/2025,Freshworks                                                                                                                                            ,San Mateo                          ,CA   ,94403          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               , , , , ,Yes, , , , , , , ,Yes, , , , , , , , , ,1305184
8/22/2025,Honey Dew Donuts                                                                                                                                      ,Plainville                         ,MA   ,02762          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , ,Yes, , , , , , , ,1305211
8/22/2025,King Philip Regional School District                                                                                                                  ,King Philip                        ,MA   ,02056          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305132
8/22/2025,"Lash Boutique Cape Cod, Inc.                                                                                                                          ",West Barnstable                    ,MA   ,02668          ,Salons (Nail and Hair)                                                                              ,Non-Payment of Wage                               ,Yes, , , , , ,Yes, , , , , , , , , , , , , , , ,1305192
8/22/2025,Massachusetts Steamship Authority                                                                                                                     ,Falmouth                           ,MA   ,02540          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , ,Yes,Yes, , , , , , , , , , , , , , , ,1305205
8/22/2025,"Masterpiece Painter, Inc.                                                                                                                             ",Holliston                          ,MA   ,01746          ,Construction                                                                                        ,Non-Payment of Wage                               ,Yes, , , , ,Yes,Yes, , , , , , , , , , , , , , , ,1305161
8/22/2025,McLean Hospital                                                                                                                                       ,Belmont                            ,MA   ,02478          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , , , , , , ,Yes, , , , , , , , , , ,1305130
8/22/2025,New England Treatment Access                                                                                                                          ,Franklin                           ,MA   ,02038          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , , , ,Yes, , , , , , , , , ,1305224
8/22/2025,Poochie Palace                                                                                                                                        ,Tewksbury                          ,MA   ,01810          ,Services                                                                                            ,Non-Payment of Wage                               ,Yes, , , , , ,Yes, , , ,Yes, , , , , , , , , , , ,1305210
8/22/2025,Quirk Chevrolet                                                                                                                                       ,Braintree                          ,MA   ,02184          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , , , , , ,Yes, , , , , , , , , , , ,1305153
8/22/2025,Saint Joseph Manor Healthcare                                                                                                                         ,Brockton                           ,MA   ,02301          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , ,Yes, , , ,Yes, , , , ,Yes, , , , , , , , ,1305216
8/22/2025,Select Rehab                                                                                                                                          ,Glenview                           ,IL   ,60026          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , , , , , , , ,Yes, , , , , , , , , ,1305143
8/22/2025,STK Steakhouse Boston                                                                                                                                 ,Boston                             ,MA   ,02116          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , ,Yes,Yes,Yes, , , , , , ,Yes, , , , , , , ,1305195
8/22/2025,Surfside Smokehouse                                                                                                                                   ,Plymouth                           ,MA   ,02360          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , ,Yes,Yes,Yes, , , , , , , , , , , , , , , ,1305187
8/22/2025,The Connection Cafe                                                                                                                                   ,Holbrook                           ,MA   ,02343          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               ,Yes,Yes, , , ,Yes,Yes,Yes,Yes, , , , , ,Yes, , , , , , , ,1305136
8/22/2025,The Coop Rotisserie                                                                                                                                   ,Amesbury                           ,MA   ,01913          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305156
8/22/2025,"TJJP, LLC                                                                                                                                             ",Lowell                             ,MA   ,01851          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , ,Yes, , , , ,Yes, ,Yes, , , , , , , , , , , , , ,1305158
8/22/2025,Tropical Smoothie Cafe                                                                                                                                ,Worcester                          ,MA   ,01606          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , ,Yes, , , , , , , , ,Yes, , , , , , , , , , , ,1305162
8/22/2025,"Uber Technologies, Inc.                                                                                                                               ",San Francisco                      ,MA   ,94158          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               ,Yes, , ,Yes, , , ,Yes, , , , ,Yes, ,Yes, , , , , , , ,1305160
8/22/2025,Ulta                                                                                                                                                  ,Peabody                            ,MA   ,01960          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305165
8/22/2025,Village Nail                                                                                                                                          ,Woburn                             ,MA   ,01801          ,Salons (Nail and Hair)                                                                              ,Non-Payment of Wage                               , , , , , ,Yes,Yes, , , , , ,Yes, ,Yes, , , , , , , ,1305188
8/22/2025,Winn Companies                                                                                                                                        ,Boston                             ,MA   ,02108          ,Real Estate/Property Management                                                                     , , , , , , , , , , , , , , , , , , , , , , , ,1305177
8/22/2025,Wu Construction                                                                                                                                       ,Braintree                          ,MA   ,02112          ,Construction                                                                                        ,Non-Payment of Wage                               ,Yes, , , , , ,Yes, , , , , , , , , , , , , , , ,1305148
8/22/2025,"Wyckoff Golf, Inc.                                                                                                                                    ",East Longmeadow                    ,MA   ,01028          ,Entertainment/Gaming                                                                                ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1305212
